country_region,confirmed,deaths
India,38369,636
India,311620,2727
India,5965,129
India,33299,388
India,92842,1555
Indonesia,797723,23520
Iran,1268263,55933
Iraq,600755,12869
Israel,471048,3552
Italy,36880,1265
Italy,11471,269
Italy,196271,3033
Italy,62474,2963
Italy,493022,25532
Italy,203782,8106
Italy,102641,2629
Italy,277331,7157
Japan,18327,233
Japan,14122,462
Japan,2820,40
Japan,68858,622
Kazakhstan,206840,2781
Kenya,97733,1702
"Korea, South",67358,1081
Kosovo,52943,1363
Kyrgyzstan,81826,1363
Lesotho,4351,76
Libya,103515,1558
Luxembourg,47592,521
Madagascar,17767,262
Maldives,13988,49
Mali,7427,286
Malta,13776,228
Mauritania,15214,378
Mexico,17562,1414
Mexico,18652,796
Mexico,7349,975
Mexico,354011,17752
Mexico,51354,4329
Mexico,25820,1612
Mexico,26524,2748
Mexico,8151,1071
Mexico,86953,5356
Mexico,49684,5875
Mexico,16266,2072
Mexico,27386,4293
Mexico,45990,3249
Mexico,40064,3349
Mexico,11886,1465
Mexico,27273,2390
Mexico,21849,1826
Morocco,448678,7645
Mozambique,19961,176
Nepal,263605,1903
Netherlands,5883,50
Netherlands,16472,189
Netherlands,18040,125
Netherlands,51574,1115
Netherlands,133150,2463
Netherlands,59053,758
Netherlands,11440,132
Pakistan,8430,234
Pakistan,4878,101
Pakistan,38842,436
Pakistan,60536,1710
Pakistan,143511,4221
Pakistan,222999,3670
Paraguay,112856,2352
Peru,18570,254
Peru,31323,1527
Peru,7711,162
Peru,15383,380
Peru,25474,615
Peru,25541,538
Peru,7928,152
Peru,20700,499
Peru,28517,977
Peru,37714,2487
Peru,453069,16873
Peru,9607,157
Peru,16177,316
Peru,42946,2235
Peru,19441,410
Peru,9515,349
Portugal,456533,7472
Qatar,145271,245
Russia,11575,98
Russia,34365,943
Russia,14125,108
Russia,20216,413
Russia,20242,152
Russia,23140,275
Russia,24539,218
Russia,26815,606
Russia,9397,96
Russia,17090,601
Russia,42377,1303
Russia,22552,562
Russia,15444,208
Russia,22218,186
Russia,10625,82
Russia,29762,176
Russia,37382,204
Russia,15533,244
Russia,12742,195
Russia,17196,284
Russia,7248,65
Russia,9536,126
Russia,843425,11728
Russia,164707,3029
Russia,37840,679
Russia,73057,1755
Russia,12601,101
Russia,32796,1204
Russia,30918,405
Russia,54387,2172
Russia,27332,404
Russia,33475,668
Russia,37178,435
Russia,36786,777
Russia,25480,226
Russia,24268,820
Russia,21141,411
Russia,38145,474
Russia,19764,538
Russia,25636,460
Russia,33213,348
Russia,23621,222
Russia,28907,407
Slovakia,198184,2717
Slovenia,134545,2922
Somalia,4726,130
South Sudan,3589,63
Spain,28045,1374
Spain,28590,443
Spain,105977,4116
Spain,3202,59
Spain,62950,764
Spain,43361,973
Sri Lanka,46780,222
Sudan,23316,1468
Sweden,16310,366
Sweden,2378,34
Sweden,14398,149
Sweden,4942,85
Sweden,7524,118
Sweden,8289,136
Sweden,14275,224
Sweden,76622,755
Sweden,9023,91
Sweden,14886,267
Switzerland,474764,8178
Thailand,9841,67
Trinidad and Tobago,7210,127
Turkey,2296102,22264
US,4705,50
US,1981,48
US,4957,72
US,1598,46
US,10283,158
US,3159,54
US,3934,42
US,4911,62
US,1082,36
US,7538,78
US,2898,45
US,5466,34
US,56823,748
US,11179,79
US,7337,60
US,1058,35
US,2248,46
US,9616,92
US,17475,282
US,11336,103
US,17035,105
US,5617,76
US,2504,100
US,19730,222
US,23728,126
US,8045,255
US,4867,151
US,360707,5575
US,14347,378
US,12086,368
US,77854,1189
US,31497,407
US,6441,113
US,29715,565
US,2292,74
US,19981,286
US,1669,43
US,10718,143
US,4565,77
US,8591,97
US,6520,164
US,3843,58
US,7043,133
US,1383,48
US,1578,43
US,1255,35
US,23370,234
US,5410,72
US,2609,49
US,57081,713
US,23400,444
US,74732,523
US,872204,11554
US,2854,50
US,177733,1972
US,15233,142
US,204327,2189
US,25424,205
US,27050,234
US,8741,95
US,20752,214
US,6921,69
US,36214,442
US,47428,313
US,9083,126
US,41979,534
US,2978,68
US,16600,205
US,31096,639
US,15884,164
US,3349,55
US,9782,147
US,2213,84
US,1701,51
US,13634,334
US,60396,1772
US,51566,1615
US,10097,171
US,30750,808
US,17000,136
US,23103,535
US,12543,193
US,23707,354
US,6358,119
US,3047,58
US,4346,60
US,3501,52
US,8041,287
US,7737,166
US,17228,331
US,24000,438
US,19585,496
US,2620,54
US,83462,777
US,88852,1933
US,48998,1114
US,12310,143
US,20512,514
US,19803,319
US,5720,122
US,4311,95
US,1515,65
US,3403,76
US,4676,61
US,1864,49
US,3753,41
US,14515,242
US,18351,134
US,10790,70
US,48473,599
US,3346,53
US,10958,106
US,8987,87
US,1471,41
US,40876,543
US,2118,53
US,5209,213
US,838,41
US,1981,53
US,1472,44
US,5219,78
US,12167,84
US,61428,803
US,5572,136
US,5252,66
US,719,48
US,1697,34
US,14606,160
US,9222,136
US,6196,75
US,1335,36
US,1402,40
US,606,34
US,827,34
US,4149,123
US,9020,141
US,1732,67
US,2596,43
US,9520,117
US,3740,47
US,16018,264
US,4357,83
US,2392,51
US,597,35
US,3086,86
US,2542,72
US,6267,93
US,3542,85
US,2310,50
US,2313,40
US,12601,135
US,1291,41
US,1986,45
US,18848,233
US,39961,366
US,13599,130
US,3109,44
US,8243,113
US,14537,91
US,1268,37
US,4494,76
US,410005,8630
US,1385,48
US,2459,52
US,3094,93
US,2068,47
US,4207,133
US,8763,237
US,3280,62
US,2878,53
US,22258,423
US,3702,109
US,4349,66
US,13910,215
US,2409,58
US,3464,58
US,13767,216
US,1864,34
US,20347,382
US,3344,69
US,11100,222
US,6863,94
US,5009,168
US,5725,109
US,2978,61
US,2773,34
US,4429,55
US,3434,35
US,2425,70
US,8150,127
US,5022,65
US,2115,58
US,25843,291
US,5777,88
US,4582,60
US,7213,130
US,1775,34
US,7263,74
US,2118,59
US,8004,145
US,3544,65
US,75500,1218
US,2884,40
US,8446,101
US,3049,50
US,4640,82
US,13487,151
US,1944,37
US,2680,43
US,2855,36
US,0,371
US,2718,44
US,5534,148
US,2041,40
US,2329,46
US,1087,40
US,1460,47
US,8349,66
US,10952,140
US,1326,36
US,1492,59
US,3013,55
US,11531,47
US,2646,48
US,4167,58
US,43303,421
US,14794,153
US,4443,47
US,1817,57
US,4563,66
US,12630,172
US,2294,35
US,3267,54
US,5262,44
US,5279,46
US,3501,60
US,1363,50
US,7217,106
US,4812,69
US,0,34
US,2693,35
US,8368,45
US,4995,34
US,4753,55
US,6470,76
US,2949,51
US,3181,46
US,9730,78
US,1838,40
US,11028,84
US,2930,94
US,1285,56
US,19113,527
US,14955,294
US,2545,95
US,2152,85
US,1631,41
US,2804,73
US,34115,684
US,2408,67
US,3503,78
US,9395,131
US,3109,60
US,22484,685
US,2019,57
US,9006,215
US,3910,78
US,1446,43
US,6814,154
US,3820,88
US,1938,49
US,981,35
US,5625,160
US,33215,737
US,3869,80
US,12446,204
US,9195,175
US,12029,183
US,49257,1162
US,57771,1117
US,3582,92
US,5046,88
US,1382,93
US,26952,1039
US,58671,1406
US,6085,80
US,6577,207
US,9716,205
US,3235,72
US,8061,203
US,769,34
US,1282,46
US,2961,78
US,1270,35
US,2467,82
US,2119,34
US,13266,204
US,844,37
US,8166,177
US,12959,273
US,45313,584
US,4207,103
US,51460,1676
US,3652,52
US,22160,130
US,8147,164
US,3095,71
US,9699,269
US,1678,43
US,19301,290
US,13009,423
US,1593,67
US,3126,59
US,7454,181
US,3827,60
US,4306,83
US,14559,208
US,88524,3740
US,2747,37
US,4039,83
US,31538,291
US,3606,64
US,3143,41
US,2092,45
US,3022,43
US,2150,35
US,3576,46
US,9854,65
US,7927,61
US,11184,94
US,1868,63
US,2340,45
US,3595,96
US,2253,47
US,1958,68
US,5513,106
US,1783,37
US,2041,65
US,5523,98
US,4393,61
US,8161,125
US,7551,146
US,1840,68
US,3618,78
US,2344,73
US,2249,45
US,9361,178
US,2228,41
US,2161,66
US,2496,56
US,3078,48
US,2190,51
US,1871,37
US,6240,99
US,6726,103
US,5872,58
US,5837,53
US,6603,110
US,7001,116
US,10470,167
US,3338,34
US,31709,366
US,2615,48
US,2170,42
US,2434,57
US,2121,42
US,28463,299
US,17413,302
US,2063,34
US,3929,56
US,1870,41
US,2570,43
US,2116,69
US,6835,115
US,5169,41
US,1403,51
US,2389,36
US,4426,52
US,3540,56
US,3946,42
US,3849,40
US,5190,68
US,2066,47
US,19618,464
US,12090,152
US,13238,386
US,23063,643
US,2579,143
US,8494,242
US,49865,2422
US,15395,420
US,4084,140
US,48222,1735
US,34771,1087
US,21711,987
US,41659,1496
US,3082,115
US,13440,689
US,4978,224
US,4263,184
US,7339,101
US,4240,50
US,2444,44
US,2308,41
US,8766,142
US,1216,41
US,92156,5173
US,9264,220
US,2836,51
US,3589,36
US,4944,99
US,133865,7832
US,97746,2452
US,9806,203
US,23764,475
